Sample;380 (simple);540 (simple);380 (gauss);540 (gauss);380 (lmfit);540 (lmfit)
[buf]-005-1-1chaps;0.4568;0.0225;0.2611;0.4392;0.5342;0.2219
[buf]-005-1-1chaps1;0.7293;0.2333;0.6628;0.2736;0.7162;0.7289
[buf]-5-1-1;0.45;0.0194;0.5155;0.0207;0.5157;0.0033
[buf]-5-1-2;0.5879;0.0562;0.5937;0.131;0.6233;0.1192
 [buf]-10.1;0.2992;0.1621;0.4712;0.1724;0.413;0.0044
 [buf]-10.1 1;0.4588;0.2312;0.5497;0.2231;0.5402;0.2278
 [buf]-10.2;0.3044;0.1675;0.4723;0.1784;0.4175;0.0018
 [buf]-10.2 1;0.31;0.167;0.478;0.1779;0.4217;0.0083
 [buf]-10.2 2;-0.1581;-0.0831;-0.1666;-0.112;0.0;0.0
 [buf]-Buf;0.1229;0.0378;0.1334;0.0565;0.1653;0.2732
 [buf]-10.11;0.3173;0.2877;0.3278;0.2429;0.4339;0.3568
A [H20}-buf;0.6248;0.0597;0.6248;0.0597;1.1906;0.0053
A [buf}-buf;0.6295;0.0539;0.6295;0.0539;1.2045;0.0053
A [buf}-buf 1;0.1294;0.0375;0.1294;0.0375;0.1548;0.0
A [buf}-10.21;0.5184;0.2952;0.5905;0.2872;0.6131;0.3113
A [buf}-10.22;0.5868;0.321;0.6169;0.3189;0.6433;0.3451
A [buf}-10.23;0.6714;0.3524;0.6718;0.3594;0.7108;0.3765
A [Buf]-9.1;0.4195;0.0093;0.5226;0.0244;0.514;0.004
A [Buf]-9.2;0.1812;-0.1441;0.1812;-0.1441;0.0;0.0
A [Buf]-9.3;0.2923;-0.0763;0.2923;-0.0763;0.4304;0.0
A [Buf];0.7226;0.0788;0.7226;0.0788;1.3151;0.0049
A [Buf]-1.11;0.3895;-0.0024;0.3895;-0.0024;0.4547;0.0016
A [Buf]-1.12;0.4019;0.0101;0.4456;0.011;0.4742;0.1065
A [Buf]-1.13;0.4599;0.1023;0.4674;0.1243;0.5201;0.3848
A [Buf]-1.13 1;0.023;0.003;0.0211;0.0097;0.0276;0.0
A [Buf]-Buf;0.6712;0.056;0.6712;0.056;1.2374;0.0056
A [Buf]-2.11;0.09;0.0615;0.1058;0.0635;0.0;0.5464
A [Buf]-2.12;0.2416;0.1529;0.2351;0.1766;0.2959;0.5292
A [Buf]-2.13;0.181;0.1122;0.1857;0.1225;0.0;0.7361
